# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FHVEC    = Vectorgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# 
STN,YYYYMMDD,FHVEC
  344,20180831,    9
  344,20180901,    9
  344,20180902,   24
  344,20180903,   23
  344,20180904,   21
  344,20180905,   18
  344,20180906,   19
  344,20180907,   49
  344,20180908,   39
  344,20180909,   43
  344,20180910,   47
  344,20180911,   72
  344,20180912,   16
  344,20180913,   12
  344,20180914,   38
  344,20180915,   27
  344,20180916,   36
  344,20180917,   26
  344,20180918,   58
  344,20180919,   59
  344,20180920,   57
  344,20180921,   82
  344,20180922,   40
  344,20180923,   20
  344,20180924,   28
  344,20180925,    5
  344,20180926,   36
  344,20180927,   24
  344,20180928,   37
  344,20180929,    7
  344,20180930,   18
  344,20181001,   38
  344,20181002,   41
  344,20181003,   31
  344,20181004,   37
  344,20181005,   20
  344,20181006,   11
  344,20181007,   25
  344,20181008,   29
  344,20181009,   25
  344,20181010,   32
  344,20181011,   47
  344,20181012,   52
  344,20181013,   45
  344,20181014,   35
  344,20181015,   18
  344,20181016,   14
  344,20181017,   11
  344,20181018,   30
  344,20181019,   18
  344,20181020,    7
  344,20181021,   25
  344,20181022,   26
  344,20181023,   65
  344,20181024,   44
  344,20181025,   28
  344,20181026,   40
  344,20181027,    0
  344,20181028,   50
  344,20181029,   48
  344,20181030,   16
  344,20181031,   34
  344,20181101,   40
  344,20181102,   27
  344,20181103,   31
  344,20181104,   23
  344,20181105,   28
  344,20181106,   33
  344,20181107,   59
  344,20181108,   30
  344,20181109,   39
  344,20181110,   58
  344,20181111,   57
  344,20181112,   35
  344,20181113,   64
  344,20181114,   35
  344,20181115,   23
  344,20181116,   20
  344,20181117,   38
  344,20181118,   44
  344,20181119,   66
  344,20181120,   74
  344,20181121,   37
  344,20181122,   32
  344,20181123,   26
  344,20181124,   35
  344,20181125,   38
  344,20181126,   38
  344,20181127,   28
  344,20181128,   66
  344,20181129,   69
  344,20181130,   62
  344,20181201,   62
  344,20181202,   72
  344,20181203,   64
  344,20181204,    9
  344,20181205,   40
  344,20181206,   65
  344,20181207,   72
  344,20181208,   96
  344,20181209,   77
  344,20181210,   52
  344,20181211,   20
  344,20181212,   26
  344,20181213,   44
  344,20181214,   24
  344,20181215,   58
  344,20181216,   40
  344,20181217,   37
  344,20181218,   60
  344,20181219,   52
  344,20181220,   67
  344,20181221,   78
  344,20181222,   62
  344,20181223,   10
  344,20181224,   11
  344,20181225,   36
  344,20181226,   30
  344,20181227,   11
  344,20181228,   19
  344,20181229,   45
  344,20181230,   32
  344,20181231,   32
  344,20190101,   52
  344,20190102,   41
  344,20190103,   13
  344,20190104,   32
  344,20190105,   51
  344,20190106,   19
  344,20190107,   52
  344,20190108,   90
  344,20190109,   53
  344,20190110,   13
  344,20190111,   37
  344,20190112,   59
  344,20190113,   75
  344,20190114,   46
  344,20190115,   61
  344,20190116,   70
  344,20190117,   38
  344,20190118,   22
  344,20190119,   31
  344,20190120,   18
  344,20190121,   18
  344,20190122,   57
  344,20190123,   24
  344,20190124,   17
  344,20190125,   33
  344,20190126,   65
  344,20190127,   64
  344,20190128,   71
  344,20190129,   37
  344,20190130,    4
  344,20190131,   27
  344,20190201,   31
  344,20190202,   29
  344,20190203,   16
  344,20190204,   71
  344,20190205,   37
  344,20190206,   52
  344,20190207,   92
  344,20190208,   88
  344,20190209,  105
  344,20190210,   34
  344,20190211,   38
  344,20190212,   47
  344,20190213,   43
  344,20190214,   18
  344,20190215,   23
  344,20190216,   32
  344,20190217,   35
  344,20190218,   26
  344,20190219,   56
  344,20190220,   44
  344,20190221,   39
  344,20190222,    5
  344,20190223,   29
  344,20190224,   12
  344,20190225,   15
  344,20190226,   10
  344,20190227,   17
  344,20190228,   44
  344,20190301,   29
  344,20190302,   51
  344,20190303,   92
  344,20190304,   94
  344,20190305,   59
  344,20190306,   60
  344,20190307,   92
  344,20190308,   63
  344,20190309,   78
  344,20190310,   51
  344,20190311,   77
  344,20190312,   78
  344,20190313,   89
  344,20190314,   80
  344,20190315,   70
  344,20190316,  102
  344,20190317,   65
